10,2002,62
11,2004,65
2,2005,66
12,2005,67
3,2006,66
4,2006,73
9,2007,76
12,2007,75
1,2008,77
5,2008,78
8,2008,82
12,2008,84
1,2009,85
4,2009,85
9,2009,84
12,2009,83
1,2010,80
5,2010,82
9,2010,85
11,2010,84
11,2010,82
11,2010,82
12,2010,81
3,2011,86
5,2011,83
8,2011,84
12,2011,87
1,2012,88
1,2012,87
2,2012,88
4,2012,88
8,2012,87
8,2012,89
9,2012,85
9,2012,88
9,2012,89
10,2012,88
11,2012,89
11,2012,84
12,2012,87
12,2012,88
1,2013,89
5,2013,91
7,2013,90
7,2013,91
9,2013,89
9,2013,91
10,2013,92
1,2014,92
1,2014,90
1,2014,91
2,2014,90
4,2014,92
9,2014,91
12,2014,89
4,2015,92
7,2015,92
11,2015,91
4,2016,92
5,2016,92
11,2016,95
1,2018,95
2,2019,96
2,2021,97
