2002,3.48
2003,2.98
2004,3.11
2005,3.13
2006,2.79
2007,3.22
2008,3.26
2009,3.37
2010,3.73
2011,3.25
2012,2.81
2013,3.50
2014,3.22
2015,3.72
2016,2.64
2017,3.29
2018,3.39
2019,2.70
